13-1085-265,77,Passed
14-1545-915,90,Passed
14-0358-846,75,Passed
13-1142-510,72,Failed
14-1476-755,82,Passed
14-3453-680,77,Passed
13-0906-668,73,Failed
9000139,74,Failed
13-3039-678,76,Passed
14-0915-673,86,Passed
13-3965-930,76,Passed
14-3256-388,78,Passed
12011615,79,Passed
14-0672-703,91,Passed
13-2032-680,86,Passed
13-0371-349,73,Failed
14-0970-227,84,Passed
14-0486-947,87,Passed
14-0028-593,92,Passed
14-2648-931,95,Passed
14-1342-916,92,Passed
14-2391-253,87,Passed
14-1284-179,87,Passed
12003448,91,Passed
13-0633-528,86,Passed
14-1620-127,87,Passed
13-2868-846,71,Failed
14-0270-714,93,Passed
13-1967-406,76,Passed
13-1802-472,80,Passed
14-1185-972,73,Failed
14-1433-240,73,Failed
13-3634-530,89,Passed
14-2581-954,85,Passed
14-2102-663,74,Failed
14-0518-194,90,Passed
14-5267-283,81,Passed
14-0043-968,83,Passed
14-4065-351,92,Passed
14-0767-450,90,Passed
