9801659,86,PASSED
13-1085-265,81,PASSED
14-1545-915,90,PASSED
12016010,88,PASSED
13-0906-668,82,PASSED
12-0448-906,90,PASSED
13-1055-488,80,PASSED
13-3039-678,83,PASSED
13-0436-920,90,PASSED
14-0672-703,87,PASSED
13-2032-680,88,PASSED
12001697,74,FAILED
12-1688-705,71,FAILED
14-0486-947,91,PASSED
14-0028-593,94,PASSED
14-2648-931,93,PASSED
14-1342-916,95,PASSED
14-2391-253,93,PASSED
12000899,87,PASSED
14-1284-179,86,PASSED
14-1620-127,85,PASSED
12013151,80,PASSED
13-3604-125,95,PASSED
14-1185-972,80,PASSED
8300195,89,PASSED
13-3634-530,89,PASSED
14-2581-954,91,PASSED
14-2102-663,86,PASSED
14-0518-194,89,PASSED
14-0735-620,91,PASSED
12012508,84,PASSED
14-0767-450,85,PASSED
12022944,76,PASSED
13-4071-882,92,PASSED
